rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
1,0.326,5.000,4.700,2.246,2.454,0.522,7,"gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[0][0]/C","group_dist_q_reg[8]/D","P2 popcount capture","CARRY4=4;FDCE=2;LUT3=2;LUT5=1"
2,0.414,5.000,4.583,1.210,3.373,0.736,6,"FSM_onehot_st_q_reg[1]/C","lane_result_q_reg[0][32]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT6=4"
3,0.414,5.000,4.583,1.210,3.373,0.736,6,"FSM_onehot_st_q_reg[1]/C","lane_result_q_reg[0][33]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT6=4"
4,0.414,5.000,4.583,1.210,3.373,0.736,6,"FSM_onehot_st_q_reg[1]/C","lane_result_q_reg[0][34]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT6=4"
5,0.414,5.000,4.583,1.210,3.373,0.736,6,"FSM_onehot_st_q_reg[1]/C","lane_result_q_reg[0][48]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT6=4"
6,0.414,5.000,4.583,1.210,3.373,0.736,6,"FSM_onehot_st_q_reg[1]/C","lane_result_q_reg[0][49]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT6=4"
7,0.414,5.000,4.583,1.210,3.373,0.736,6,"FSM_onehot_st_q_reg[1]/C","lane_result_q_reg[0][50]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT6=4"
8,0.414,5.000,4.583,1.210,3.373,0.736,6,"FSM_onehot_st_q_reg[1]/C","lane_result_q_reg[0][55]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT6=4"
9,0.414,5.000,4.583,1.210,3.373,0.736,6,"FSM_onehot_st_q_reg[1]/C","lane_result_q_reg[0][59]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT6=4"
10,0.414,5.000,4.583,1.210,3.373,0.736,6,"FSM_onehot_st_q_reg[1]/C","lane_result_q_reg[0][63]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT6=4"
11,0.414,5.000,4.583,1.210,3.373,0.736,6,"FSM_onehot_st_q_reg[1]/C","lane_result_q_reg[1][32]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT6=4"
12,0.414,5.000,4.583,1.210,3.373,0.736,6,"FSM_onehot_st_q_reg[1]/C","lane_result_q_reg[1][33]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT6=4"
